Contenido,Título del vídeo,Fecha de publicacion del video ,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Impresiones,Porcentaje de clics de las impresiones (%)
aZ268g2OrfY,"""Mi Vida con Parálisis Cerebral” |EP23 ALDO PANCARDO |DE LO MÁS NORMAL","May 6, 2024",7,0.1,0,4325,0.12
bRyAlMHJzr4,"""Yo sabía que iba a llegar lejos"" #parati #viral #shortvideo #foryou #elmariana #rivers #gamer","May 5, 2024",7,0.0,0,131,0.76
dOinx_2nMDc,Explorando el pueblo mágico de Santiago NL Relajo #1T2 con Clauudea,"Oct 9, 2023",7,0.9,0,711,0.42
fZrA8SwowAw,¿Los esclavistas/conquistadores merecen monumentos?,"Mar 21, 2024",7,0.812,0,2962,0.14
fmyvhNojg6I,"""Los jefes tiemblan"" #parati #viral #foryou #shortvideo #tv #chisme #entrevista #entretenimiento","May 18, 2024",7,0.0,0,169,0.59
qVk_ddQqmH4,¿Qué es una persona no binaria? #lgbt #pride #orgullo #viral,"Aug 12, 2023",7,0.1,0,166,2.41
vocI2dl8lbs,"""Declaración anual"" #podcast #parati #foryou #declaracion #entrevista #shortvideo #conocimiento","May 6, 2024",7,0.1,0,198,1.01
26g8d8O1HYo,"""El origen de ""El gran Showman"" - Ernesto Chavana D'Influencers T2 EP1","Mar 18, 2024",6,0.0,0,2863,0.17
2CMmxlet2Yk,"""Corazón roto en el festival"" #viral #foryou #humor #parati #palnorte #monterrey #discapacidad","Apr 26, 2024",6,0.0,0,79,0
CoRhoH21IYA,"""Migración Forzada: Huir de Venezuela"" - Daniela de la Hoz EP.12 DE LO MÁS NORMAL","Oct 13, 2023",6,0.6,0,716,0.84
DJr0ucrwuIQ,"""El tiempo le ha dado la razón a las personas"" #viral #podcast #parati #karlapanini #chisme","May 4, 2024",6,0.0,0,96,1.04
Dw75iY5Xp5Q,"""Las palabras altisonantes venden"" #foryou #podcast #viral #entrevista #wcorona","Dec 19, 2023",6,0.1,0,86,5.81
E6dQuI69x_I,"D'Influencers EP17 ""Cirugía Plástica: Esculpiendo el Autoestima"" - Dr. Hugo De León","May 29, 2023",6,1.1,0,439,1.14
Y1GtEM7lM4k,"""Diseñe la barbería del Babo"" #viral #podcast #barberia #babilonia #ppcdsalvc #feed #shorts","Apr 9, 2024",6,0.0,0,86,2.33
Z34DEsztHA4,“Desde los 14 consumí drogas” #polivoces #famosos #viral #DInfluencers,"Oct 6, 2023",6,0.0,0,143,0.7
ZpXuvztg37g,"""Discapacidad: retos y prejuicios sociales""","Mar 22, 2024",6,0.0,0,3009,0.17
ce9bBeHcxag,"""La Verdad de la Educación Montessori es ¿Buena o Mala?"" |EP14 Gaby Trejo | DE LO MÁS NORMAL","Nov 10, 2023",6,0.1,0,750,0.13
vrnZNPkcwP0,"""Terminé la prepa y me fui a Ciudad de México"" #parati #foryou #viral #estudio #podcast","Jun 12, 2024",6,0.1,0,436,0
1KrHuhpT_II,NL Relajo Cap. 6 - Especial de Halloween ,"Nov 2, 2022",5,0.0,0,197,1.02
4fUc4-QVraM,"""Hechos con cariño"" #viral #parati #foryou #pandeelote #tradición #entretenimiento #comida","May 30, 2024",5,0.0,0,237,0.42
DzlqbuRR0j4,Hugo Arturo nos explica en qué se diferencia un queer del resto de la diversidad LGBTQ+,"Jul 15, 2023",5,0.0,0,140,1.43
WuyPs6UFlMQ,Explorando canal de TV no creerás lo que escuchamos NL Relajo #2T2 con Clauudea & Urbex Xtremo,"Oct 23, 2023",5,0.7,0,785,0.51
cRLCrhGWhks,"""Problema de dos"" #parati #foryou #chisme #entrevista #divorcio #podcast #viral #shortvideo","May 16, 2024",5,0.0,0,112,0
geyqOYyL1QE,“La Silla de Ruedas no me Define” - Ericka Rivera ¿Y TÚ QUIÉN ERES? EP8,"Nov 2, 2023",5,0.4,0,746,0.4
y_R-NEqKTZU,"""Cinemas Raly"" #viral #foryou #parati #cinema #vintage #entretenimiento #shortvideo","May 19, 2024",5,0.0,0,178,0.56
